2023-06-17 16:46:59,864 - INFO: Server started.
2023-06-17 16:46:59,864 - INFO: Action: Sending command - Command: command
2023-06-17 16:47:00,766 - ERROR: No response from drone for command: command
2023-06-17 16:47:00,767 - INFO: Action: Initiating Drone at 192.168.10.1
2023-06-17 16:47:01,769 - INFO: Action: Sending command - Command: streamon
2023-06-17 16:47:02,672 - ERROR: No response from drone for command: streamon
2023-06-17 16:47:02,672 - INFO: Action: Turning Stream On at 192.168.10.1
2023-06-17 16:47:02,673 - INFO: Action: Receiving response - Response: b'ok'
2023-06-17 16:47:02,674 - INFO: Action: Receiving response - Response: b'ok'
2023-06-17 16:47:02,678 - INFO: Starting video streaming.
2023-06-17 16:47:02,678 - INFO: Setting drone speed to 100 cm/s
2023-06-17 16:47:02,679 - INFO: Action: Sending command - Command: speed 100
2023-06-17 16:47:03,036 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,037 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,038 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,039 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,040 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,040 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,040 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,041 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,041 - INFO: Received video frame of size 728 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,048 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,049 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,051 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,052 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,052 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,052 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,053 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,053 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,054 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,054 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,060 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,060 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,061 - INFO: Received video frame of size 938 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,082 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,082 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,083 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,083 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,095 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,096 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,096 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,096 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,097 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,097 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,098 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,098 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,098 - INFO: Received video frame of size 794 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,118 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,119 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,119 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,119 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,120 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,120 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,121 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,121 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,122 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,122 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,122 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,123 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,123 - INFO: Received video frame of size 65 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,148 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,150 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,151 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,151 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,151 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,152 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,152 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,152 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,153 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,153 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,153 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,154 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,154 - INFO: Received video frame of size 110 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,180 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,184 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,187 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,187 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,187 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,188 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,189 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,189 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,189 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,189 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,190 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,190 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,191 - INFO: Received video frame of size 206 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,221 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,223 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,225 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,227 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,229 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,230 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,232 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,233 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,235 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,235 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,235 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,236 - INFO: Received video frame of size 521 from ('192.168.10.1', 62512).
